name,self_cpu_time_ms,cpu_time_ms,self_cuda_time_ms,cuda_time_ms,self_cpu_memory_bytes,self_cuda_memory_bytes,cpu_memory_bytes,cuda_memory_bytes,count,flops,device_type
aten::log,7.478522000002893,13.999537000000434,1.2904049999985145,1.2904049999985145,0,113246208,0,113246208,512,0,DeviceType.CPU
aten::logical_and,8.788143000023119,20.761307000006287,1.3147589999930351,1.6184379999956,0,0,0,2097152,1280,0,DeviceType.CPU
aten::logical_and_,1.9864219999813357,9.962731999986689,0.0,1.0110799999904703,0,0,0,0,768,0,DeviceType.CPU
aten::logical_not,0.23037000000133412,0.7842020000013872,0.02159899999992922,0.04319799999985844,0,0,0,2097152,32,0,DeviceType.CPU
aten::logical_or,7.709555000013206,61.649122000005896,0.6473229999993783,1.2946459999987565,0,0,0,4194304,1024,0,DeviceType.CPU
aten::lt,9.326706000003119,17.146723000002122,1.0207989999997371,1.0207989999997371,0,10485760,0,10485760,768,0,DeviceType.CPU
aten::masked_fill_,3.598603000001807,279.76549500000374,0.7278049999994691,0.7278049999994691,0,0,0,0,512,0,DeviceType.CPU
aten::max,4.394891000011703,12.58286500000421,1.0945860000004468,1.0945860000004468,0,0,0,131072,256,0,DeviceType.CPU
aten::mean,22.29891499999448,35.72541899999566,7.944279999999824,7.944279999999824,0,507904,0,507904,1248,0,DeviceType.CPU
aten::min,4.501207999995532,33.345882000005716,1.088034000002983,1.5016630000120785,0,0,0,33685504,512,0,DeviceType.CPU
aten::minimum,3.1367899999964868,20.687758999998973,0.41362900000909575,0.41362900000909575,0,33554432,0,33554432,256,0,DeviceType.CPU
aten::mm,61.06161000000685,96.59594899998577,190.74969700001745,190.74969700001745,0,10760880128,0,10760880128,3584,449897824256,DeviceType.CPU
aten::mse_loss,6.367242000001599,22.595060000003258,0.5355559999982943,2.336296999996353,0,0,0,33554432,256,0,DeviceType.CPU
aten::mse_loss_backward,4.22339200000593,34.32516800001211,0.6066849999997066,1.493401000011887,0,0,0,33554432,512,0,DeviceType.CPU
aten::mul,162.28667299999623,243.4997310000397,21.63003499999588,21.63003499999588,0,1175093248,0,1175093248,15424,289346896,DeviceType.CPU
aten::ne,10.345146000007809,25.75876700001175,1.2362869999944814,1.2362869999944814,0,4194304,0,4194304,1024,0,DeviceType.CPU
aten::neg,32.45577899997729,59.37219599999129,5.449152000011512,5.449152000011512,0,553910272,0,553910272,2816,0,DeviceType.CPU
aten::nonzero,18.799361000007732,59.10035700001153,3.649311999990692,3.649311999990692,0,0,0,0,512,0,DeviceType.CPU
aten::normal_,6.656096000005365,11.462373000009041,1.5248260000034224,1.5248260000034224,0,0,0,0,513,0,DeviceType.CPU
aten::ones_like,5.692686000028887,40.527804000012836,0.0,1.7706250000038417,0,0,0,25296896,1792,0,DeviceType.CPU
aten::pow,24.690575999996508,61.06115100001532,1.9359360000026353,3.5923910000081816,0,427851776,0,427851776,1600,0,DeviceType.CPU
aten::randn,0.006560999999997876,0.040756999999999606,0.0,0.0035830000000005384,0,0,0,65536,1,0,DeviceType.CPU
aten::reciprocal,2.698126999993925,10.240710999997333,0.32646300000324846,0.32646300000324846,0,131072,0,131072,256,0,DeviceType.CPU
aten::reshape,6.516756999994092,11.812497999992722,0.0,0.0,0,0,0,0,2569,0,DeviceType.CPU
aten::resize_,15.65007899997499,15.65007899997499,0.0,0.0,0,157491200,0,157491200,4449,0,DeviceType.CPU
aten::result_type,2.268591000036169,2.268591000036169,0.0,0.0,0,0,0,0,23360,0,DeviceType.CPU
aten::scalar_tensor,7.374070999979682,35.862771999981106,0.0,1.7318029999860738,0,0,0,917504,1792,0,DeviceType.CPU
aten::select,28.553373999964272,33.5203289999759,0.0,0.0,0,0,0,0,9200,0,DeviceType.CPU
aten::set_,2.354347999995487,2.354347999995487,0.0,0.0,0,0,0,0,740,0,DeviceType.CPU
aten::slice,39.46019299999893,47.433271000011196,0.0,0.0,0,0,0,0,11984,0,DeviceType.CPU
aten::sqrt,10.784837999988703,31.194511999986606,1.5135289999921442,1.5135289999921442,0,557056,0,557056,1088,0,DeviceType.CPU
aten::squeeze,1.2451730000035603,1.4834999999961582,0.0,0.0,0,0,0,0,256,0,DeviceType.CPU
aten::stack,11.74748200000974,48.667106000016766,0.0,2.811975000002887,0,0,0,50462720,1024,0,DeviceType.CPU
aten::std,0.3375339999979478,0.620742999998387,0.44639999999827706,0.44639999999827706,0,0,0,8192,16,0,DeviceType.CPU
aten::sub,144.58372400005146,222.45370700005373,27.699668000017084,27.699668000017084,0,1443135488,0,1443135488,14208,0,DeviceType.CPU
aten::sum,47.01656600003205,75.7755150000182,66.27824999997324,66.27824999997324,0,38928384,0,38928384,2816,0,DeviceType.CPU
aten::t,33.07922799991161,77.00474099998132,0.0,0.0,0,0,0,0,12352,0,DeviceType.CPU
aten::to,6.542596999987869,77.28073299999924,0.0,4.573204999995905,0,0,0,9586688,12710,0,DeviceType.CPU
aten::transpose,31.16757900008143,43.92551300006972,0.0,0.0,0,0,0,0,12352,0,DeviceType.CPU
aten::unsqueeze,15.071322000007683,19.0058889999972,0.0,0.0,0,0,0,0,8192,0,DeviceType.CPU
aten::var,1.4385839999981107,2.5441060000002036,1.381696000004653,1.381696000004653,0,0,0,32768,64,0,DeviceType.CPU
aten::view,13.712787000034663,13.712787000034663,0.0,0.0,0,0,0,0,6665,0,DeviceType.CPU
aten::where,26.124491000025156,81.24295099998687,3.614205999998638,5.76456399998613,0,-483328,0,138584064,2304,0,DeviceType.CPU
aten::zero_,1.8644790000005342,10.171561999998868,0.0,0.6746230000131509,0,0,0,0,566,0,DeviceType.CPU
aten::zeros,1.3243600000045734,8.733666000001028,0.0,0.3317779999998784,0,0,0,229376,258,0,DeviceType.CPU
aten::zeros_like,1.1039240000029968,8.968225000003091,0.0,0.3428450000132725,0,0,0,37907456,308,0,DeviceType.CPU
autograd::engine::evaluate_function: AddBackward0,4.841093999994744,5.424174000002036,0.0,0.0,0,0,0,0,768,0,DeviceType.CPU
autograd::engine::evaluate_function: AddmmBackward,30.739695999975666,246.7016560000006,0.0,250.98362300000264,0,-21609054208,0,-10847125504,2048,0,DeviceType.CPU
autograd::engine::evaluate_function: ClampBackward,5.608755999983638,90.93584999998717,0.0,5.584842999974265,0,-100794368,0,-33554432,768,0,DeviceType.CPU
autograd::engine::evaluate_function: DivBackward0,3.5247169999981995,25.247125999999117,0.0,3.874162999996217,0,-234881024,0,-33554432,256,0,DeviceType.CPU
autograd::engine::evaluate_function: EluBackward0,12.082035999978368,45.40535300000169,0.0,103.64095999998658,0,-21474836480,0,-10737418240,1536,0,DeviceType.CPU
autograd::engine::evaluate_function: ExpBackward0,3.124778999996255,13.620794999998528,0.0,0.693533000012394,0,-33685504,0,0,512,0,DeviceType.CPU
autograd::engine::evaluate_function: ExpandBackwar,1.744445000005653,8.924671000003814,0.0,3.1719379999910013,0,-100663296,0,-100532224,256,0,DeviceType.CPU
autograd::engine::evaluate_function: LogBackward0,1.529198999997112,8.596712999997544,0.0,1.2006009999958334,0,-100663296,0,0,256,0,DeviceType.CPU
autograd::engine::evaluate_function: MeanBackward0,1.566411999992153,10.348320999993128,0.0,0.5170569999951403,0,-131072,0,33423360,256,0,DeviceType.CPU
autograd::engine::evaluate_function: MinimumBackwa,1.808230999997584,324.45701099999764,0.0,3.946576999992074,0,-34209792,0,33554432,256,0,DeviceType.CPU
autograd::engine::evaluate_function: MseLossBackwa,1.9389650000032852,26.25552500000305,0.0,0.8867160000121803,0,-131072,0,33423360,256,0,DeviceType.CPU
autograd::engine::evaluate_function: MulBackward0,8.146855999963998,35.109792999988244,0.0,1.9480890000082436,-4096,-201326592,-4096,-33423360,1024,0,DeviceType.CPU
autograd::engine::evaluate_function: NegBackward0,2.684432000010216,12.005528999997944,0.0,0.8661430000068503,0,-100663296,0,131072,512,0,DeviceType.CPU
autograd::engine::evaluate_function: PowBackward0,5.160630999994464,45.333646999990684,0.0,4.147555000004708,0,-402653184,0,-201326592,512,0,DeviceType.CPU
autograd::engine::evaluate_function: SubBackward0,6.26481199999107,17.255642000008375,0.0,1.1789370000050403,0,-100663296,0,100663296,1280,0,DeviceType.CPU
autograd::engine::evaluate_function: SumBackward1,1.2093299999968148,4.3480009999934115,0.0,0.0,0,0,0,0,256,0,DeviceType.CPU
autograd::engine::evaluate_function: TBackward0,10.017433999989764,24.564201000000118,0.0,0.0,0,0,0,0,2048,0,DeviceType.CPU
autograd::engine::evaluate_function: UnsqueezeBack,1.085025999997044,3.1394070000025676,0.0,0.0,0,0,0,0,256,0,DeviceType.CPU
autograd::engine::evaluate_function: torch::autogr,20.343912000002454,44.39876599999651,0.0,0.0,0,0,0,0,4352,0,DeviceType.CPU
bpSignalComplete,0.0,0.0,4.204339000001201,4.204339000001201,0,0,0,0,1536,0,DeviceType.CUDA
carb::gym::(anonymous namespace)::fillActorRootSta,0.0,0.0,4.393412999998971,4.393412999998971,0,0,0,0,257,0,DeviceType.CUDA
carb::gym::(anonymous namespace)::prepareForceAndT,0.0,0.0,1.9178300000033923,1.9178300000033923,0,0,0,0,256,0,DeviceType.CUDA
carb::gym::(anonymous namespace)::unpackActorRootS,0.0,0.0,0.01753600000000006,0.01753600000000006,0,0,0,0,1,0,DeviceType.CUDA
computeAverageSolverBodyVelocityTGS,0.0,0.0,3.4873309999831252,3.4873309999831252,0,0,0,0,2048,0,DeviceType.CUDA
computeEndPtsHistogram,0.0,0.0,1.645803999997559,1.645803999997559,0,0,0,0,512,0,DeviceType.CUDA
computeFrozenAndUnfrozenHistogramLaunch,0.0,0.0,2.5302699999969627,2.5302699999969627,0,0,0,0,512,0,DeviceType.CUDA
computeIncrementalComparisonHistograms_Stage1,0.0,0.0,1.9519620000024733,1.9519620000024733,0,0,0,0,512,0,DeviceType.CUDA
computeIncrementalComparisonHistograms_Stage2,0.0,0.0,1.1792209999989718,1.1792209999989718,0,0,0,0,512,0,DeviceType.CUDA
computeMassMatrix1T,0.0,0.0,24.720981000006518,24.720981000006518,0,0,0,0,512,0,DeviceType.CUDA
computeUnconstrainedAccelerationsLaunch1T,0.0,0.0,36.700750000000696,36.700750000000696,0,0,0,0,512,0,DeviceType.CUDA
computeUnconstrainedSpatialInertiaLaunch1T,0.0,0.0,15.753604000001477,15.753604000001477,0,0,0,0,512,0,DeviceType.CUDA
computeUnconstrainedSpatialInertiaLaunchPartial1T,0.0,0.0,30.722525000001042,30.722525000001042,0,0,0,0,512,0,DeviceType.CUDA
computeUnconstrainedVelocities1TLaunch,0.0,0.0,75.61950099999045,75.61950099999045,0,0,0,0,512,0,DeviceType.CUDA
copyOrApplyArtiData,0.0,0.0,4.9978899999869775,4.9978899999869775,0,0,0,0,1540,0,DeviceType.CUDA
copyReports,0.0,0.0,0.7445400000156951,0.7445400000156951,0,0,0,0,512,0,DeviceType.CUDA
createFrozenAndUnfrozenArray,0.0,0.0,0.6458569999895699,0.6458569999895699,0,0,0,0,512,0,DeviceType.CUDA
cuLaunchKernel,113.30765999997271,113.30765999997271,25.704835999989715,25.704835999989715,0,0,0,0,48391,0,DeviceType.CPU
cudaDeviceGetAttribute,0.4135509999976348,0.4135509999976348,0.0,0.0,0,0,0,0,527,0,DeviceType.CPU
cudaDeviceSynchronize,1.5437009999989295,1.5437009999989295,0.10195100000007187,0.10195100000007187,0,0,0,0,260,0,DeviceType.CPU
cudaFree,9.020545999999994,9.020545999999994,0.0,0.0,0,0,0,0,3,0,DeviceType.CPU
cudaFuncGetAttributes,16.998331000000004,16.998331000000004,0.0,0.0,0,0,0,0,1,0,DeviceType.CPU
cudaGetDeviceCount,0.0001849999999976717,0.0001849999999976717,0.0,0.0,0,0,0,0,1,0,DeviceType.CPU
cudaGetSymbolAddress,0.08255200000000332,0.08255200000000332,0.0,0.0,0,0,0,0,1,0,DeviceType.CPU
cudaHostAlloc,0.021572999999974855,0.021572999999974855,0.0,0.0,0,0,0,0,2,0,DeviceType.CPU
cudaLaunchKernel,1125.4371589999294,1125.4371589999294,0.49968000000319446,0.49968000000319446,0,0,0,0,112247,0,DeviceType.CPU
