-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::mean         0.17%       1.390ms         0.78%       6.231ms      79.880us     590.655us         0.10%     590.655us       7.573us           0 b           0 b      31.00 Kb      31.00 Kb            78            --  
                                       aten::reciprocal         0.02%     168.483us         0.88%       7.039ms     439.928us      24.799us         0.00%      24.799us       1.550us           0 b           0 b       8.00 Kb       8.00 Kb            16            --  
                                           aten::arange         0.00%      35.643us         0.14%       1.091ms     545.685us       1.632us         0.00%       3.264us       1.632us           0 b           0 b      64.00 Kb           0 b             2            --  
                                       cudaLaunchKernel        68.14%     545.182ms        68.14%     545.182ms      77.145us      10.720us         0.00%      10.720us       0.002us           0 b           0 b           0 b           0 b          7067            --  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.632us         0.00%       1.632us       1.632us           0 b           0 b           0 b           0 b             1            --  
                                       aten::as_strided         0.28%       2.228ms         0.28%       2.228ms       0.711us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3133            --  
                                          aten::reshape         0.05%     397.485us         0.09%     689.201us       4.078us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           169            --  
                                             aten::view         0.10%     767.199us         0.10%     767.199us       1.805us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           425            --  
                          $SatelliteVec__reset_idx__sim         0.00%       0.000us         0.00%       0.000us       0.000us     553.471us         0.10%     553.471us     276.735us           0 b           0 b           0 b           0 b             2            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.272us         0.00%       6.272us       6.272us           0 b           0 b           0 b           0 b             1            --  
                                       aten::index_put_         0.01%      94.571us         0.20%       1.601ms      66.691us       0.000us         0.00%     210.053us       8.752us           0 b           0 b           0 b           0 b            24            --  
